t,EGT_SEL,FLIGHT_MOD,FMV_SEL,HPTC_SEL,LPTC_SEL,N1_SEL,N2_ACTSEL,OIL_P,OIL_TEMP,PS3_SEL,PT2_SEL,P0_SEL,TAT,TBV_SEL,TRA_SEL,T25_SEL,T3_SEL,VBV_SEL,VIB_CN1,VIB_CN2,VIB_TN1,VIB_TN2,VSV_SEL,WFM_SEL,XM
datenum,deg_C,_,_,%,%,%,%_RPM,psi,_,psi,mb,psi,deg_C,%,DEG,_,_,DEG,_,_,_,_,DEG,lb/h,mach
12/09/2011 09:05:12.125,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12/09/2011 09:05:12.375,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12/09/2011 09:05:12.625,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12/09/2011 09:05:12.875,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7679.98,0.15
12/09/2011 09:05:13.125,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,575.982,NaN,NaN,21.75,0,0,NaN,NaN,0,0,0,0,0,0,4607.86,0.15
12/09/2011 09:05:13.375,167.995,NaN,NaN,0,NaN,0,0,0,NaN,191.984,NaN,NaN,21.75,0,0,NaN,NaN,0,0,0,0,0,0,1535.87,0.15
12/09/2011 09:05:13.625,119.997,NaN,NaN,0,NaN,0,0,0,76,0,NaN,NaN,21.75,0,0,NaN,NaN,0,0,0,0,0,0,0,0.15
12/09/2011 09:05:13.875,71.998,NaN,NaN,0,NaN,0,0,0,76,0,NaN,NaN,21.75,0,0,NaN,NaN,0,0,0,0,0,0,0,0.15
12/09/2011 09:05:14.125,24.0041,NaN,NaN,0,NaN,0,0,0,76,0,NaN,NaN,21.75,0,0,NaN,NaN,0,0,0,0,0,0,0,0.15
12/09/2011 09:05:14.375,0.00234322,NaN,NaN,0,NaN,0,0,0,76,0,NaN,NaN,21.75,0,0,NaN,NaN,0,0,0,0,0,0,0,0.15
12/09/2011 09:05:14.625,1.08027e-007,NaN,NaN,0,NaN,0,0,0,76,0,NaN,NaN,21.75,0,0,NaN,NaN,0,0,0,0,0,0,0,0.15
12/09/2011 09:05:14.875,3.12496e-012,NaN,NaN,0,NaN,0,0,0,76,0,NaN,NaN,21.75,0,0,NaN,NaN,0,0,0,0,0,0,0,0.15
12/09/2011 09:05:15.125,0,NaN,NaN,0,NaN,0,0,0,76,0,0,24,21.75,0,0,NaN,NaN,0,0,0,0,0,0,0,0.15
12/09/2011 09:05:15.375,72.0006,NaN,NaN,0,0,0,0,0,76,0,0,24,21.75,0,0,NaN,NaN,0,0,0,0,0,0,0,0.15
12/09/2011 09:05:15.625,215.996,NaN,NaN,0,0,0,0,0,76,192.007,0,24,21.75,0,0,NaN,NaN,0,0,0,0,0,0,1536.05,0.15
