t,EGT_SEL,FLIGHT_MOD,FMV_SEL,HPTC_SEL,LPTC_SEL,N1_SEL,N2_ACTSEL,OIL_P,OIL_TEMP,PS3_SEL,PT2_SEL,P0_SEL,TAT,TBV_SEL,TRA_SEL,T25_SEL,T3_SEL,VBV_SEL,VIB_CN1,VIB_CN2,VIB_TN1,VIB_TN2,VSV_SEL,WFM_SEL,XM
datenum,deg_C,_,_,%,%,%,%_RPM,psi,_,psi,mb,psi,deg_C,%,DEG,_,_,DEG,_,_,_,_,DEG,lb/h,mach
13/09/2011 17:04:33.125,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13/09/2011 17:04:33.375,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13/09/2011 17:04:33.625,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13/09/2011 17:04:33.875,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7679.98,0.15
13/09/2011 17:04:34.125,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,584.732,NaN,NaN,29.25,0,0,NaN,NaN,0,0,0,0,0,0,4607.86,0.15
13/09/2011 17:04:34.375,414.81,NaN,NaN,0,NaN,0,0,0,NaN,204.234,NaN,NaN,29.25,0,0,NaN,NaN,0,0,0,0,0,0,1535.87,0.15
13/09/2011 17:04:34.625,321.938,NaN,NaN,0,NaN,0,0,0,73.125,12.2499,NaN,NaN,29.25,0,0,NaN,NaN,0,0,0,0,0,0,0,0.15
13/09/2011 17:04:34.875,229.066,NaN,NaN,0,NaN,0,0,0,75.375,8.74996,NaN,NaN,29.25,0,0,NaN,NaN,0,0,0,0,0,0,0,0.15
13/09/2011 17:04:35.125,136.203,NaN,NaN,0,NaN,0,0,0,77.6248,5.25026,NaN,NaN,29.25,0,0,NaN,NaN,0,0,0,0,0,0,0,0.15
13/09/2011 17:04:35.375,112.198,NaN,NaN,0,NaN,0,0,0,79.8748,1.75028,NaN,NaN,29.25,0,0,NaN,NaN,0,0,0,0,0,0,0,0.15
13/09/2011 17:04:35.625,157.065,NaN,NaN,0,NaN,0,0,0,82.1248,1.75006,NaN,NaN,29.25,0,0,NaN,NaN,0,0,0,0,0,0,0,0.15
13/09/2011 17:04:35.875,201.939,NaN,NaN,0,NaN,0,0,0,84.3748,5.24976,NaN,NaN,29.25,0,0,NaN,NaN,0,0,0,0,0,0,0,0.15
13/09/2011 17:04:36.125,246.819,NaN,NaN,0,NaN,0,0,0,86.6251,8.75016,0,0,29.25,0,0,NaN,NaN,0,0,0,0,0,0,0,0.15
13/09/2011 17:04:36.375,318.817,NaN,NaN,0,0,0,0,0,88.875,12.2501,0,0,29.25,0,0,NaN,NaN,0,0,0,0,0,0,0,0.15
13/09/2011 17:04:36.625,417.938,NaN,NaN,0,0,0,0,0,91.125,204.257,0,0,29.25,0,0,NaN,NaN,0,0,0,0,0,0,1536.05,0.15
13/09/2011 17:04:36.875,517.05,NaN,NaN,0,0,0,0,0,93.3748,584.724,0,0,29.25,0,0,NaN,NaN,0,0,0,0,0,0,4608.02,0.15
13/09/2011 17:04:37.125,616.171,NaN,NaN,0,0,0,0,0,95.6248,965.222,0,0,29.25,0,0,NaN,NaN,0,0,0,0,0,0,7680,0.15
13/09/2011 17:04:37.375,640.176,NaN,NaN,0,0,0,0,0,97.8748,1345.72,0,0,29.25,0,0,NaN,NaN,0,0,0,0,0,0,10752,0.15
13/09/2011 17:04:37.625,589.06,NaN,NaN,0,0,0,0,0,100.125,1345.74,0,0,29.25,0,0,NaN,NaN,0,0,0,0,0,0,10751.9,0.15
13/09/2011 17:04:37.875,537.929,1,0,0,0,0,0,0,102.375,965.23,0,0,29.25,0,0,0,74.7498,0,0,0,0,0,0,7679.84,0.15
13/09/2011 17:04:38.125,486.805,1,0,0,0,0,0,0,104.625,584.732,0,0,29.25,0,0,0,68.2498,0,0,0,0,0,0,4607.86,0.15
13/09/2011 17:04:38.375,414.808,1,0,0,0,0,0,0,106.875,204.234,0,0,29.25,0,0,0,61.7498,0,0,0,0,0,0,1535.87,0.15
13/09/2011 17:04:38.625,321.936,1,0,0,0,0,0,0,106.844,12.2499,0,0,29.25,0,0,0,55.2499,0,0,0,0,0,0,0,0.15
13/09/2011 17:04:38.875,229.074,1,0,0,0,0,0,0,104.531,8.75024,0,0,29.25,0,0,0,48.7502,0,0,0,0,0,0,0,0.15
13/09/2011 17:04:39.125,136.202,1,0,0,0,0,0,0,102.219,5.25026,0,0,29.25,0,0,0,42.2502,0,0,0,0,0,0,0,0.15
13/09/2011 17:04:39.375,112.198,1,0,0,0,0,0,0,99.9064,1.75028,0,0,29.25,0,0,0,35.7503,0,0,0,0,0,0,0,0.15
13/09/2011 17:04:39.625,157.071,1,0,0,0,0,0,0,97.5937,1.7502,0,0,29.25,0,0,0,29.2498,0,0,0,0,0,0,0,0.15
13/09/2011 17:04:39.875,201.945,1,0,0,0,0,0,0,95.2812,5.25018,0,0,29.25,0,0,0,22.7498,0,0,0,0,0,0,0,0.15
13/09/2011 17:04:40.125,246.819,1,0,0,0,0,0,0,92.9687,8.75016,0,0,29.25,0,0,0,16.2498,0,0,0,0,0,0,0,0.15
13/09/2011 17:04:40.375,318.817,1,0,0,0,0,0,0,90.6562,12.2501,0,0,29.25,0,0,0,9.74986,0,0,0,0,0,0,0,0.15
13/09/2011 17:04:40.625,417.928,1,0,0,0,0,0,0,88.3439,204.241,0,0,29.25,0,0,0,3.25017,0,0,0,0,0,0,1536.05,0.15
13/09/2011 17:04:40.875,517.05,1,0,0,0,0,0,0,86.0314,584.724,0,0,29.25,0,0,0,0.000141024,0,0,0,0,0,0,4608.02,0.15
13/09/2011 17:04:41.125,616.171,1,0,0,0,0,0,0,83.7189,965.222,0,0,29.25,0,0,0,2.67718e-009,0,0,0,0,0,0,7680,0.15
13/09/2011 17:04:41.375,640.176,1,0,0,0,0,0,0,81.4065,1345.72,0,0,29.2812,0,0,0,2.90422e-014,0,0,0,0,0,0,10752,0.15
13/09/2011 17:04:41.625,589.053,1,0,0,0,0,0,0,79.0937,1345.73,0,0,29.3438,0,0,0,0,0,0,0,0,0,0,10751.8,0.15
13/09/2011 17:04:41.875,537.929,1,0,0,0,0,0,0,76.7812,965.23,0,0,29.4063,0,0,0,0,0,0,0,0,0,0,7679.84,0.15
13/09/2011 17:04:42.125,486.805,1,0,0,0,0,0,0,74.4687,584.732,0,0,29.4688,0,0,0,0,0,0,0,0,0,0,4607.86,0.15
13/09/2011 17:04:42.375,414.808,1,0,0,0,0,0,0,72.1562,204.234,0,0,29.5,0,0,0,0,0,0,0,0,0,0,1535.87,0.15
13/09/2011 17:04:42.625,321.945,1,0,0,0,0,0,0,71.0001,12.2656,0,0,29.5,0,0,0,0,0,0,0,0,0,0,0.00833099,0.15
13/09/2011 17:04:42.875,229.074,1,0,0,0,0,0,0,71,8.75024,0,0,29.5,0,0,0,0,0,0,0,0,0,0,0,0.15
13/09/2011 17:04:43.125,136.202,1,0,0,0,0,0,0,71,5.25026,0,0,29.5,0,0,0,0,0,0,0,0,0,0,0,0.15
13/09/2011 17:04:43.375,112.197,1,0,0,0,0,0,0,71,1.74986,0,0,29.4687,0,0,0,0,0,0,0,0,0,0,0,0.15
13/09/2011 17:04:43.625,157.071,1,0,0,0,0,0,0,71,1.7502,0,0,29.4062,0,0,0,0,0,0,0,0,0,0,0,0.15
13/09/2011 17:04:43.875,201.945,1,0,0,0,0,0,0,71,5.25018,0,0,29.3437,0,0,0,0,0,0,0,0,0,0,0,0.15
13/09/2011 17:04:44.125,246.819,1,0,0,0,0,0,0,71,8.75016,0,0,29.2812,0,0,0,0,0,0,0,0,0,0,0,0.15
13/09/2011 17:04:44.375,318.81,1,0,0,0,0,0,0,71,12.2499,0,0,29.25,0,0,0,0,0,0,0,0,0,0,0,0.15
13/09/2011 17:04:44.625,417.928,1,0,0,0,0,0,0,71,204.241,0,0,29.25,0,0,0,0,0,0,0,0,0,0,1536.05,0.15
13/09/2011 17:04:44.875,517.05,1,0,0,0,0,0,0,71,584.724,0,0,29.25,0,0,0,0,0,0,0,0,0,0,4608.02,0.15
13/09/2011 17:04:45.125,616.171,1,0,0,0,0,0,0,71,965.222,0,0,29.25,0,0,0,0,0,0,0,0,0,0,7680,0.15
13/09/2011 17:04:45.375,640.176,1,0,0,0,0,0,0,71,1345.77,0,0,29.2813,0,0,0,0,0,0,0,0,0,0,10752.1,0.15
13/09/2011 17:04:45.625,589.051,1,0,0,0,0,0,0,71,1345.73,0,0,29.3438,0,0,0,0,0,0,0,0,0,0,10751.8,0.15
13/09/2011 17:04:45.875,537.926,1,0,0,0,0,0,0,71,965.23,0,0,29.4063,0,0,0,0,0,0,0,0,0,0,7679.84,0.15
13/09/2011 17:04:46.125,486.805,1,0,0,0,0,0,0,71,584.763,0,0,29.4687,0,0,0,0,0,0,0,0,0,0,4607.87,0.15
13/09/2011 17:04:46.375,414.808,1,0,0,0,0,0,0,71,204.265,0,0,29.5,0,0,0,0,0,0,0,0,0,0,1535.89,0.15
13/09/2011 17:04:46.625,321.937,1,0,0,0,0,0,0,71,12.2656,0,0,29.5,0,0,0,0,0,0,0,0,0,0,0.00833099,0.15
13/09/2011 17:04:46.875,229.065,1,0,0,0,0,0,0,71,8.75024,0,0,29.5,0,0,0,0,0,0,0,0,0,0,0,0.15
13/09/2011 17:04:47.125,136.179,1,0,0,0,0,0,0,71,5.24984,0,0,29.5,0,0,0,0,0,0,0,0,0,0,0,0.15
13/09/2011 17:04:47.375,112.184,1,0,0,0,0,0,0,71,1.74986,0,0,29.4687,0,0,0,0,0,0,0,0,0,0,0,0.15
13/09/2011 17:04:47.625,157.058,1,0,0,0,0,0,0,71,1.75006,0,0,29.4062,0,0,0,0,0,0,0,0,0,0,0,0.15
13/09/2011 17:04:47.875,201.932,1,0,0,0,0,0,0,71,5.25004,0,0,29.3437,0,0,0,0,0,0,0,0,0,0,0,0.15
13/09/2011 17:04:48.125,246.801,1,0,0,0,0,0,0,71,8.74974,0,0,29.2813,0,0,0,0,0,0,0,0,0,0,0,0.15
13/09/2011 17:04:48.375,318.801,1,0,0,0,0,0,0,71,12.2497,0,0,29.25,0,0,0,0,0,0,0,0,0,0,0,0.15
