t,EGT_SEL,FLIGHT_MOD,FMV_SEL,HPTC_SEL,LPTC_SEL,N1_SEL,N2_ACTSEL,OIL_P,OIL_TEMP,PS3_SEL,PT2_SEL,P0_SEL,TAT,TBV_SEL,TRA_SEL,T25_SEL,T3_SEL,VBV_SEL,VIB_CN1,VIB_CN2,VIB_TN1,VIB_TN2,VSV_SEL,WFM_SEL,XM
datenum,deg_C,_,_,%,%,%,%_RPM,psi,_,psi,mb,psi,deg_C,%,DEG,_,_,DEG,_,_,_,_,DEG,lb/h,mach
13/09/2011 07:40:48.125,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13/09/2011 07:40:48.375,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13/09/2011 07:40:48.625,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13/09/2011 07:40:48.875,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7679.98,0.15
13/09/2011 07:40:49.125,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,575.982,NaN,NaN,17,0,0,NaN,NaN,0,0,0,0,0,0,4607.86,0.15
13/09/2011 07:40:49.375,167.995,NaN,NaN,0,NaN,0,0,0,NaN,191.984,NaN,NaN,17,0,0,NaN,NaN,0,0,0,0,0,0,1535.87,0.15
13/09/2011 07:40:49.625,119.997,NaN,NaN,0,NaN,0,0,0,70,0,NaN,NaN,17,0,0,NaN,NaN,0,0,0,0,0,0,0,0.15
13/09/2011 07:40:49.875,71.998,NaN,NaN,0,NaN,0,0,0,70,0,NaN,NaN,17,0,0,NaN,NaN,0,0,0,0,0,0,0,0.15
13/09/2011 07:40:50.125,24.0041,NaN,NaN,0,NaN,0,0,0,70,0,NaN,NaN,17,0,0,NaN,NaN,0,0,0,0,0,0,0,0.15
13/09/2011 07:40:50.375,0.00234323,NaN,NaN,0,NaN,0,0,0,70,0,NaN,NaN,17,0,0,NaN,NaN,0,0,0,0,0,0,0,0.15
13/09/2011 07:40:50.625,1.08028e-007,NaN,NaN,0,NaN,0,0,0,70,0,NaN,NaN,17,0,0,NaN,NaN,0,0,0,0,0,0,0,0.15
13/09/2011 07:40:50.875,3.12498e-012,NaN,NaN,0,NaN,0,0,0,70,0,NaN,NaN,17,0,0,NaN,NaN,0,0,0,0,0,0,0,0.15
13/09/2011 07:40:51.125,0,NaN,NaN,0,NaN,0,0,0,70,0,0,24,17,0,0,NaN,NaN,0,0,0,0,0,0,0,0.15
13/09/2011 07:40:51.375,72.0006,NaN,NaN,0,0,0,0,0,70,0,0,24,17,0,0,NaN,NaN,0,0,0,0,0,0,0,0.15
13/09/2011 07:40:51.625,215.996,NaN,NaN,0,0,0,0,0,70,192.007,0,24,17,0,0,NaN,NaN,0,0,0,0,0,0,1536.05,0.15
13/09/2011 07:40:51.875,359.977,NaN,NaN,0,0,0,0,0,70,575.973,0,24,17,0,0,NaN,NaN,0,0,0,0,0,0,4608.02,0.15
13/09/2011 07:40:52.125,503.972,NaN,NaN,0,0,0,0,0,70,959.971,0,24,17,0,0,NaN,NaN,0,0,0,0,0,0,7680,0.15
13/09/2011 07:40:52.375,527.981,NaN,NaN,0,0,0,0,0,70,1343.97,0,24,17,0,0,NaN,NaN,0,0,0,0,0,0,10752,0.15
13/09/2011 07:40:52.625,431.995,NaN,NaN,0,0,0,0,0,70,1343.99,0,24,17,0,0,NaN,NaN,0,0,0,0,0,0,10751.9,0.15
13/09/2011 07:40:52.875,335.984,1,0,0,0,0,0,0,70,959.98,0,24,17,0,0,0,-512,0,0,0,0,0,0,7679.84,0.15
13/09/2011 07:40:53.125,239.986,1,0,0,0,0,0,0,70,575.982,0,24,17,0,0,0,-512,0,0,0,0,0,0,4607.86,0.15
13/09/2011 07:40:53.375,167.991,1,0,0,0,0,0,0,70,191.984,0,24,17,0,0,0,-512,0,0,0,0,0,0,1535.87,0.15
13/09/2011 07:40:53.625,119.994,1,0,0,0,0,0,0,67.8124,0,0,24,17,0,0,0,-512,0,0,0,0,0,0,0,0.15
13/09/2011 07:40:53.875,72.0011,1,0,0,0,0,0,0,63.4378,0,0,24,17,0,0,0,-512,0,0,0,0,0,0,0,0.15
13/09/2011 07:40:54.125,24.0035,1,0,0,0,0,0,0,59.0629,0,0,24,17,0,0,0,-512,0,0,0,0,0,0,0,0.15
13/09/2011 07:40:54.375,0.00234318,1,0,0,0,0,0,0,54.6879,0,0,24,17,0,0,0,-512,0,0,0,0,0,0,0,0.15
13/09/2011 07:40:54.625,0,1,0,0,0,0,0,0,50.3123,0,0,24,17,0,0,0,-512,0,0,0,0,0,0,0,0.15
13/09/2011 07:40:54.875,0,1,0,0,0,0,0,0,45.9374,0,0,24,17,0,0,0,-512,0,0,0,0,0,0,0,0.15
13/09/2011 07:40:55.125,0,1,0,0,0,0,0,0,41.5624,0,0,24,17,0,0,0,-512,0,0,0,0,0,0,0,0.15
13/09/2011 07:40:55.375,72.0006,1,0,0,0,0,0,0,37.1874,0,0,24,17.0313,0,0,0,-512,0,0,0,0,0,0,0,0.15
13/09/2011 07:40:55.625,215.982,1,0,0,0,0,0,0,32.8128,191.991,0,24,17.0937,0,0,0,-512,0,0,0,0,0,0,1536.05,0.15
13/09/2011 07:40:55.875,359.977,1,0,0,0,0,0,0,28.4378,575.973,0,24,17.1562,0,0,0,-496,0,0,0,0,0,0,4608.02,0.15
13/09/2011 07:40:56.125,503.972,1,0,0,0,0,0,0,24.0629,959.971,0,24,17.2187,0,0,0,-464.001,0,0,0,0,0,0,7680,0.15
13/09/2011 07:40:56.375,527.981,1,0,0,0,0,0,0,19.6879,1343.97,0,24,17.25,0,0,0,-432.001,0,0,0,0,0,0,10752,0.15
13/09/2011 07:40:56.625,431.982,1,0,0,0,0,0,0,15.3124,1343.98,0,24,17.25,0,0,0,-399.999,0,0,0,0,0,0,10751.8,0.15
13/09/2011 07:40:56.875,335.984,1,0,0,0,0,0,0,10.9374,959.98,0,24,17.25,0,0,0,-367.999,0,0,0,0,0,0,7679.84,0.15
13/09/2011 07:40:57.125,239.986,1,0,0,0,0,0,0,6.5624,575.982,0,24,17.25,0,0,0,-335.999,0,0,0,0,0,0,4607.86,0.15
13/09/2011 07:40:57.375,167.991,1,0,0,0,0,0,0,2.18743,191.984,0,24,17.25,0,0,0,-303.999,0,0,0,0,0,0,1535.87,0.15
13/09/2011 07:40:57.625,119.999,1,0,0,0,0,0,0,2.18758,0.0156193,0,24,17.25,0,0,0,-272.001,0,0,0,0,0,0,0.00833132,0.15
13/09/2011 07:40:57.875,72.0011,1,0,0,0,0,0,0,6.56217,5.93034e-007,0,24,17.25,0,0,0,-240.001,0,0,0,0,0,0,0,0.15
13/09/2011 07:40:58.125,24.0035,1,0,0,0,0,0,0,10.9371,1.39387e-011,0,24,17.25,0,0,0,-208.001,0,0,0,0,0,0,0,0.15
13/09/2011 07:40:58.375,0,1,0,0,0,0,0,0,15.3127,0,0,24,17.25,0,0,0,-175.999,0,0,0,0,0,0,0,0.15
13/09/2011 07:40:58.625,0,1,0,0,0,0,0,0,19.6877,0,0,24,17.25,0,0,0,-143.999,0,0,0,0,0,0,0,0.15
13/09/2011 07:40:58.875,0,1,0,0,0,0,0,0,24.0626,0,0,24,17.25,0,0,0,-111.999,0,0,0,0,0,0,0,0.15
13/09/2011 07:40:59.125,0,1,0,0,0,0,0,0,28.4376,0,0,24,17.25,0,0,0,-79.9991,0,0,0,0,0,0,0,0.15
13/09/2011 07:40:59.375,71.9935,1,0,0,0,0,0,0,32.8122,0,0,24,17.25,0,0,0,-48.0007,0,0,0,0,0,0,0,0.15
13/09/2011 07:40:59.625,215.982,1,0,0,0,0,0,0,37.1872,191.991,0,24,17.25,0,0,0,-16.0009,0,0,0,0,0,0,1536.05,0.15
13/09/2011 07:40:59.875,359.977,1,0,0,0,0,0,0,41.5622,575.973,0,24,17.25,0,0,0,-0.000694273,0,0,0,0,0,0,4608.02,0.15
13/09/2011 07:41:00.125,503.972,1,0,0,0,0,0,0,45.9371,959.971,0,24,17.25,0,0,0,-1.31801e-008,0,0,0,0,0,0,7680,0.15
13/09/2011 07:41:00.375,527.978,1,0,0,0,0,0,0,50.3127,1344.02,0,24,17.25,0,0,0,0,0,0,0,0,0,0,10752.1,0.15
13/09/2011 07:41:00.625,431.978,1,0,0,0,0,0,0,54.6876,1343.98,0,24,17.25,0,0,0,0,0,0,0,0,0,0,10751.8,0.15
13/09/2011 07:41:00.875,335.977,1,0,0,0,0,0,0,59.0626,959.98,0,24,17.25,0,0,0,0,0,0,0,0,0,0,7679.84,0.15
13/09/2011 07:41:01.125,239.986,1,0,0,0,0,0,0,63.4372,576.013,0,24,17.25,0,0,0,0,0,0,0,0,0,0,4607.87,0.15
