t,EGT_SEL,FLIGHT_MOD,FMV_SEL,HPTC_SEL,LPTC_SEL,N1_SEL,N2_ACTSEL,OIL_P,OIL_TEMP,PS3_SEL,PT2_SEL,P0_SEL,TAT,TBV_SEL,TRA_SEL,T25_SEL,T3_SEL,VBV_SEL,VIB_CN1,VIB_CN2,VIB_TN1,VIB_TN2,VSV_SEL,WFM_SEL,XM
datenum,deg_C,_,_,%,%,%,%_RPM,psi,_,psi,mb,psi,deg_C,%,DEG,_,_,DEG,_,_,_,_,DEG,lb/h,mach
15/09/2011 07:33:59.125,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15/09/2011 07:33:59.375,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15/09/2011 07:33:59.625,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15/09/2011 07:33:59.875,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7679.98,0.15
15/09/2011 07:34:00.125,NaN,NaN,NaN,NaN,NaN,0,0,0,NaN,575.982,NaN,NaN,22.2812,0,0,NaN,NaN,0,0,0,0,0,0,4607.86,0.15
15/09/2011 07:34:00.375,167.995,NaN,NaN,0,NaN,0,0,0,NaN,191.984,NaN,NaN,22.25,0,0,NaN,NaN,0,0,0,0,0,0,1535.87,0.15
15/09/2011 07:34:00.625,119.997,NaN,NaN,0,NaN,0,0,0,2.18758,0,NaN,NaN,22.25,0,0,NaN,NaN,0,0,0,0,0,0,0,0.15
15/09/2011 07:34:00.875,71.998,NaN,NaN,0,NaN,0,0,0,6.56255,0,NaN,NaN,22.25,0,0,NaN,NaN,0,0,0,0,0,0,0,0.15
15/09/2011 07:34:01.125,24.0041,NaN,NaN,0,NaN,0,0,0,10.9371,0,NaN,NaN,22.25,0,0,NaN,NaN,0,0,0,0,0,0,0,0.15
15/09/2011 07:34:01.375,0.00234324,NaN,NaN,0,NaN,0,0,0,15.3121,0,NaN,NaN,22.25,0,0,NaN,NaN,0,0,0,0,0,0,0,0.15
15/09/2011 07:34:01.625,1.08028e-007,NaN,NaN,0,NaN,0,0,0,19.6871,0,NaN,NaN,22.25,0,0,NaN,NaN,0,0,0,0,0,0,0,0.15
15/09/2011 07:34:01.875,3.12501e-012,NaN,NaN,0,NaN,0,0,0,24.0621,0,NaN,NaN,22.25,0,0,NaN,NaN,0,0,0,0,0,0,0,0.15
15/09/2011 07:34:02.125,0,NaN,NaN,0,NaN,0,0,0,28.4376,0,0,0,22.25,0,0,NaN,NaN,0,0,0,0,0,0,0,0.15
15/09/2011 07:34:02.375,72.0006,NaN,NaN,0,0,0,0,0,32.8126,0,0,0,22.1875,0,0,NaN,NaN,0,0,0,0,0,0,0,0.15
15/09/2011 07:34:02.625,215.996,NaN,NaN,0,0,0,0,0,37.1876,192.007,0,0,22.0625,0,0,NaN,NaN,0,0,0,0,0,0,1536.05,0.15
15/09/2011 07:34:02.875,359.977,NaN,NaN,0,0,0,0,0,41.5622,575.973,0,0,21.9375,0,0,NaN,NaN,0,0,0,0,0,0,4608.02,0.15
15/09/2011 07:34:03.125,503.972,NaN,NaN,0,0,0,0,0,45.9371,959.971,0,0,21.8125,0,0,NaN,NaN,0,0,0,0,0,0,7680,0.15
15/09/2011 07:34:03.375,527.981,NaN,NaN,0,0,0,0,0,50.3121,1343.97,0,0,21.75,0,0,NaN,NaN,0,0,0,0,0,0,10752,0.15
15/09/2011 07:34:03.625,431.995,NaN,NaN,0,0,0,0,0,54.6871,1343.99,0,0,21.75,0,0,NaN,NaN,0,0,0,0,0,0,10751.9,0.15
15/09/2011 07:34:03.875,335.984,1,0,0,0,0,0,0,59.0626,959.98,0,0,21.75,0,0,0,0,0,0,0,0,0,0,7679.84,0.15
15/09/2011 07:34:04.125,239.986,1,0,0,0,0,0,0,63.4376,575.982,0,0,21.75,0,0,0,0,0,0,0,0,0,0,4607.86,0.15
15/09/2011 07:34:04.375,167.991,1,0,0,0,0,0,0,67.8126,191.984,0,0,21.75,0,0,0,0,0,0,0,0,0,0,1535.87,0.15
15/09/2011 07:34:04.625,119.994,1,0,0,0,0,0,0,70,0,0,0,21.75,0,0,0,0,0,0,0,0,0,0,0,0.15
15/09/2011 07:34:04.875,72.0011,1,0,0,0,0,0,0,70,0,0,0,21.75,0,0,0,0,0,0,0,0,0,0,0,0.15
15/09/2011 07:34:05.125,24.0035,1,0,0,0,0,0,0,70,0,0,0,21.75,0,0,0,0,0,0,0,0,0,0,0,0.15
15/09/2011 07:34:05.375,0.00234318,1,0,0,0,0,0,0,70,0,0,0,21.8125,0,0,0,0,0,0,0,0,0,0,0,0.15
15/09/2011 07:34:05.625,0,1,0,0,0,0,0,0,70,0,0,0,21.9375,0,0,0,0,0,0,0,0,0,0,0,0.15
15/09/2011 07:34:05.875,0,1,0,0,0,0,0,0,70,0,0,0,22.0625,0,0,0,0,0,0,0,0,0,0,0,0.15
15/09/2011 07:34:06.125,0,1,0,0,0,0,0,0,70,0,0,0,22.1875,0,0,0,0,0,0,0,0,0,0,0,0.15
15/09/2011 07:34:06.375,72.0006,1,0,0,0,0,0,0,70,0,0,0,22.1875,0,0,0,0,0,0,0,0,0,0,0,0.15
15/09/2011 07:34:06.625,215.982,1,0,0,0,0,0,0,70,191.991,0,0,22.0625,0,0,0,0,0,0,0,0,0,0,1536.05,0.15
15/09/2011 07:34:06.875,359.977,1,0,0,0,0,0,0,70,575.973,0,0,21.9375,0,0,0,0,0,0,0,0,0,0,4608.02,0.15
15/09/2011 07:34:07.125,503.972,1,0,0,0,0,0,0,70,959.971,0,0,21.8125,0,0,0,0,0,0,0,0,0,0,7680,0.15
15/09/2011 07:34:07.375,527.981,1,0,0,0,0,0,0,70,1343.97,0,0,21.75,0,0,0,0,0,0,0,0,0,0,10752,0.15
15/09/2011 07:34:07.625,431.982,1,0,0,0,0,0,0,70,1343.98,0,0,21.75,0,0,0,0,0,0,0,0,0,0,10751.8,0.15
